Accession	Description
W5P2V3	Uncharacterized protein OS=Ovis aries GN=PEPD PE=3 SV=1 - [W5P2V3_SHEEP]
W5P303	14-3-3 protein beta/alpha OS=Ovis aries GN=YWHAB PE=3 SV=1 - [W5P303_SHEEP]
W5P323	Glucose-6-phosphate isomerase OS=Ovis aries GN=GPI PE=3 SV=1 - [W5P323_SHEEP]
W5P336	Uncharacterized protein OS=Ovis aries GN=C1R PE=3 SV=1 - [W5P336_SHEEP]
W5P363	Uncharacterized protein (Fragment) OS=Ovis aries GN=VAT1 PE=4 SV=1 - [W5P363_SHEEP]
W5P3A4	Uncharacterized protein (Fragment) OS=Ovis aries GN=CASZ1 PE=4 SV=1 - [W5P3A4_SHEEP]
W5P3H0	Uncharacterized protein OS=Ovis aries GN=ZNF385D PE=4 SV=1 - [W5P3H0_SHEEP]
W5P3H8	Uncharacterized protein OS=Ovis aries GN=IGF2R PE=4 SV=1 - [W5P3H8_SHEEP]
W5P3I5	Uncharacterized protein OS=Ovis aries GN=CNDP2 PE=4 SV=1 - [W5P3I5_SHEEP]
W5P3P8	Uncharacterized protein OS=Ovis aries GN=INCA1 PE=4 SV=1 - [W5P3P8_SHEEP]
W5P3R8	Uncharacterized protein OS=Ovis aries GN=CPQ PE=4 SV=1 - [W5P3R8_SHEEP]
W5P3S1	Uncharacterized protein OS=Ovis aries GN=LOC101115991 PE=4 SV=1 - [W5P3S1_SHEEP]
W5P3S7	Uncharacterized protein (Fragment) OS=Ovis aries GN=ATP6AP1 PE=4 SV=1 - [W5P3S7_SHEEP]
W5P3Y9	Uncharacterized protein OS=Ovis aries GN=CD22 PE=4 SV=1 - [W5P3Y9_SHEEP]
W5P3Z7	Solute carrier family 26 member 9 OS=Ovis aries GN=SLC26A9 PE=3 SV=1 - [W5P3Z7_SHEEP]
W5P433	Breast cancer type 1 susceptibility protein OS=Ovis aries GN=BRCA1 PE=4 SV=1 - [W5P433_SHEEP]
W5P4A1	Ribosomal protein S6 kinase OS=Ovis aries GN=RPS6KA2 PE=3 SV=1 - [W5P4A1_SHEEP]
W5P4H0	Uncharacterized protein (Fragment) OS=Ovis aries GN=DNASE1L1 PE=4 SV=1 - [W5P4H0_SHEEP]
W5P4L0	Uncharacterized protein OS=Ovis aries GN=C1orf186 PE=4 SV=1 - [W5P4L0_SHEEP]
W5P4L3	Uncharacterized protein (Fragment) OS=Ovis aries GN=AVIL PE=4 SV=1 - [W5P4L3_SHEEP]
W5P4L4	Uncharacterized protein (Fragment) OS=Ovis aries GN=TMX3 PE=4 SV=1 - [W5P4L4_SHEEP]
W5P4P3	Tyrosine-protein phosphatase non-receptor type OS=Ovis aries GN=PTPN6 PE=3 SV=1 - [W5P4P3_SHEEP]
W5P4R1	Uncharacterized protein OS=Ovis aries GN=MSN PE=4 SV=1 - [W5P4R1_SHEEP]
W5P4S5	Ceruloplasmin OS=Ovis aries GN=CP PE=4 SV=1 - [W5P4S5_SHEEP]
W5P4S8	Histone-lysine N-methyltransferase OS=Ovis aries GN=SETD2 PE=4 SV=1 - [W5P4S8_SHEEP]
W5P4T2	Uncharacterized protein (Fragment) OS=Ovis aries GN=C6orf120 PE=4 SV=1 - [W5P4T2_SHEEP]
W5P500	Proteasome subunit beta type OS=Ovis aries GN=PSMB1 PE=3 SV=1 - [W5P500_SHEEP]
W5P527	Uncharacterized protein OS=Ovis aries GN=NUDT22 PE=4 SV=1 - [W5P527_SHEEP]
W5P528	Uncharacterized protein OS=Ovis aries GN=CCDC168 PE=4 SV=1 - [W5P528_SHEEP]
W5P559	Uncharacterized protein (Fragment) OS=Ovis aries PE=4 SV=1 - [W5P559_SHEEP]
W5P5I0	Uncharacterized protein OS=Ovis aries GN=CFI PE=3 SV=1 - [W5P5I0_SHEEP]
W5P5M0	Uncharacterized protein (Fragment) OS=Ovis aries GN=SEZ6 PE=4 SV=1 - [W5P5M0_SHEEP]
W5P5T4	Uncharacterized protein (Fragment) OS=Ovis aries PE=4 SV=1 - [W5P5T4_SHEEP]
W5P5T8	Uncharacterized protein (Fragment) OS=Ovis aries GN=RPS7 PE=4 SV=1 - [W5P5T8_SHEEP]
W5P5W9	Triosephosphate isomerase (Fragment) OS=Ovis aries GN=TPI1 PE=3 SV=1 - [W5P5W9_SHEEP]
W5P601	Uncharacterized protein OS=Ovis aries GN=STOM PE=4 SV=1 - [W5P601_SHEEP]
W5P648	Uncharacterized protein OS=Ovis aries GN=RAB14 PE=3 SV=1 - [W5P648_SHEEP]
W5P677	Uncharacterized protein (Fragment) OS=Ovis aries GN=MCFD2 PE=4 SV=1 - [W5P677_SHEEP]
W5P680	Uncharacterized protein (Fragment) OS=Ovis aries GN=DLGAP2 PE=4 SV=1 - [W5P680_SHEEP]
W5P689	Ubiquitin carboxyl-terminal hydrolase OS=Ovis aries GN=USP5 PE=3 SV=1 - [W5P689_SHEEP]
W5P694	Uncharacterized protein OS=Ovis aries GN=RPLP2 PE=3 SV=1 - [W5P694_SHEEP]
W5P6C3	Uncharacterized protein OS=Ovis aries GN=DDX41 PE=4 SV=1 - [W5P6C3_SHEEP]
W5P6E0	Uncharacterized protein OS=Ovis aries GN=OS9 PE=4 SV=1 - [W5P6E0_SHEEP]
W5P6F4	Uncharacterized protein OS=Ovis aries GN=C5 PE=4 SV=1 - [W5P6F4_SHEEP]
W5P6F9	Uncharacterized protein OS=Ovis aries GN=DPP3 PE=4 SV=1 - [W5P6F9_SHEEP]
W5P6M9	Uncharacterized protein OS=Ovis aries GN=CPXM1 PE=4 SV=1 - [W5P6M9_SHEEP]
W5P6Q5	Uncharacterized protein (Fragment) OS=Ovis aries GN=PFN1 PE=4 SV=1 - [W5P6Q5_SHEEP]
W5P6V4	Uncharacterized protein OS=Ovis aries GN=GLG1 PE=4 SV=1 - [W5P6V4_SHEEP]
W5P6X2	Uncharacterized protein OS=Ovis aries GN=IGFBP7 PE=4 SV=1 - [W5P6X2_SHEEP]
W5P708	Uncharacterized protein OS=Ovis aries GN=ACTN4 PE=4 SV=1 - [W5P708_SHEEP]
W5P711	Uncharacterized protein OS=Ovis aries GN=MYO16 PE=4 SV=1 - [W5P711_SHEEP]
W5P753	Uncharacterized protein OS=Ovis aries GN=XRCC2 PE=4 SV=1 - [W5P753_SHEEP]
W5P787	Uncharacterized protein (Fragment) OS=Ovis aries GN=NBEAL2 PE=4 SV=1 - [W5P787_SHEEP]
W5P795	Uncharacterized protein OS=Ovis aries GN=LRBA PE=4 SV=1 - [W5P795_SHEEP]
W5P7A1	Uncharacterized protein OS=Ovis aries GN=SAR1A PE=3 SV=1 - [W5P7A1_SHEEP]
W5P7E2	Uncharacterized protein (Fragment) OS=Ovis aries GN=PPA1 PE=4 SV=1 - [W5P7E2_SHEEP]
W5P7M3	Uncharacterized protein OS=Ovis aries GN=TRPC1 PE=4 SV=1 - [W5P7M3_SHEEP]
W5P7S6	Alpha-1-acid glycoprotein OS=Ovis aries GN=LOC101103947 PE=3 SV=1 - [W5P7S6_SHEEP]
W5P7W2	Uncharacterized protein (Fragment) OS=Ovis aries GN=SDF4 PE=4 SV=1 - [W5P7W2_SHEEP]
W5P812	Uncharacterized protein OS=Ovis aries GN=AMBP PE=4 SV=1 - [W5P812_SHEEP]
W5P888	Uncharacterized protein OS=Ovis aries GN=RGS3 PE=4 SV=1 - [W5P888_SHEEP]
W5P8F7	Uncharacterized protein OS=Ovis aries GN=MYBPC3 PE=4 SV=1 - [W5P8F7_SHEEP]
W5P8F9	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5P8F9_SHEEP]
W5P8I8	Uncharacterized protein OS=Ovis aries GN=PITPNM2 PE=4 SV=1 - [W5P8I8_SHEEP]
W5P8K0	Uncharacterized protein OS=Ovis aries GN=DCTN2 PE=4 SV=1 - [W5P8K0_SHEEP]
W5P8R7	Uncharacterized protein OS=Ovis aries GN=FCGBP PE=4 SV=1 - [W5P8R7_SHEEP]
W5P8X9	Chloride intracellular channel protein OS=Ovis aries GN=CLIC4 PE=3 SV=1 - [W5P8X9_SHEEP]
W5P940	Uncharacterized protein OS=Ovis aries GN=SSR4 PE=4 SV=1 - [W5P940_SHEEP]
W5P981	Uncharacterized protein OS=Ovis aries GN=AKT2 PE=4 SV=1 - [W5P981_SHEEP]
W5P9A3	Uncharacterized protein OS=Ovis aries GN=SLC22A7 PE=4 SV=1 - [W5P9A3_SHEEP]
W5P9F0	Uncharacterized protein (Fragment) OS=Ovis aries GN=ARHGAP9 PE=4 SV=1 - [W5P9F0_SHEEP]
W5P9M2	Uncharacterized protein OS=Ovis aries GN=PTGR1 PE=4 SV=1 - [W5P9M2_SHEEP]
W5P9V0	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5P9V0_SHEEP]
W5P9V5	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5P9V5_SHEEP]
W5P9Y6	Uncharacterized protein OS=Ovis aries GN=ZNF318 PE=4 SV=1 - [W5P9Y6_SHEEP]
W5P9Z6	Uncharacterized protein OS=Ovis aries GN=ZNF689 PE=4 SV=1 - [W5P9Z6_SHEEP]
W5PA21	Uncharacterized protein OS=Ovis aries GN=LECT1 PE=4 SV=1 - [W5PA21_SHEEP]
W5PA64	Uncharacterized protein (Fragment) OS=Ovis aries GN=DSC3 PE=4 SV=1 - [W5PA64_SHEEP]
W5PA65	Uncharacterized protein (Fragment) OS=Ovis aries GN=CFL2 PE=4 SV=1 - [W5PA65_SHEEP]
W5PA89	Uncharacterized protein OS=Ovis aries GN=ST6GALNAC2 PE=4 SV=1 - [W5PA89_SHEEP]
W5PAJ2	Uncharacterized protein OS=Ovis aries GN=PSAP PE=4 SV=1 - [W5PAJ2_SHEEP]
W5PAJ3	Uncharacterized protein OS=Ovis aries GN=BPIFB1 PE=4 SV=1 - [W5PAJ3_SHEEP]
W5PAM5	Uncharacterized protein OS=Ovis aries GN=RBP1 PE=3 SV=1 - [W5PAM5_SHEEP]
W5PAQ4	Uncharacterized protein (Fragment) OS=Ovis aries GN=FUCA1 PE=4 SV=1 - [W5PAQ4_SHEEP]
W5PAS9	Uncharacterized protein OS=Ovis aries GN=KLHL31 PE=4 SV=1 - [W5PAS9_SHEEP]
W5PAT6	Uncharacterized protein (Fragment) OS=Ovis aries GN=LOC101113832 PE=4 SV=1 - [W5PAT6_SHEEP]
W5PB41	Uncharacterized protein (Fragment) OS=Ovis aries GN=CLSTN1 PE=4 SV=1 - [W5PB41_SHEEP]
W5PB46	Uncharacterized protein (Fragment) OS=Ovis aries GN=PLTP PE=4 SV=1 - [W5PB46_SHEEP]
W5PB56	Uncharacterized protein OS=Ovis aries GN=TTK PE=4 SV=1 - [W5PB56_SHEEP]
W5PB87	Uncharacterized protein OS=Ovis aries GN=VWA8 PE=4 SV=1 - [W5PB87_SHEEP]
W5PB92	Uncharacterized protein OS=Ovis aries GN=UBQLNL PE=4 SV=1 - [W5PB92_SHEEP]
W5PBD8	Uncharacterized protein OS=Ovis aries GN=LAMB1 PE=4 SV=1 - [W5PBD8_SHEEP]
W5PBF4	Uncharacterized protein OS=Ovis aries GN=ZNF521 PE=4 SV=1 - [W5PBF4_SHEEP]
W5PBM9	Uncharacterized protein OS=Ovis aries GN=SCPEP1 PE=4 SV=1 - [W5PBM9_SHEEP]
W5PBT4	Uncharacterized protein (Fragment) OS=Ovis aries GN=HRAS PE=4 SV=1 - [W5PBT4_SHEEP]
W5PBW1	Uncharacterized protein (Fragment) OS=Ovis aries GN=SDS PE=4 SV=1 - [W5PBW1_SHEEP]
W5PBY1	Uncharacterized protein OS=Ovis aries GN=HEATR8 PE=4 SV=1 - [W5PBY1_SHEEP]
W5PBY5	Uncharacterized protein OS=Ovis aries GN=RNH1 PE=4 SV=1 - [W5PBY5_SHEEP]
W5PC20	Uncharacterized protein OS=Ovis aries GN=VPS37B PE=4 SV=1 - [W5PC20_SHEEP]
W5PC48	Uncharacterized protein (Fragment) OS=Ovis aries GN=C1orf177 PE=4 SV=1 - [W5PC48_SHEEP]
W5PCD9	Uncharacterized protein OS=Ovis aries GN=EML4 PE=4 SV=1 - [W5PCD9_SHEEP]
W5PCE0	Uncharacterized protein OS=Ovis aries GN=PLBD2 PE=4 SV=1 - [W5PCE0_SHEEP]
W5PCE2	Uncharacterized protein (Fragment) OS=Ovis aries GN=NUFIP1 PE=4 SV=1 - [W5PCE2_SHEEP]
W5PCL0	Uncharacterized protein OS=Ovis aries GN=CEACAM1 PE=4 SV=1 - [W5PCL0_SHEEP]
W5PCL4	Uncharacterized protein OS=Ovis aries GN=ACSL1 PE=4 SV=1 - [W5PCL4_SHEEP]
W5PCT4	Uncharacterized protein OS=Ovis aries GN=SLC34A2 PE=4 SV=1 - [W5PCT4_SHEEP]
W5PCV9	Uncharacterized protein OS=Ovis aries GN=LAMA3 PE=4 SV=1 - [W5PCV9_SHEEP]
W5PD15	Elongation factor 1-alpha OS=Ovis aries GN=LOC100125610 PE=3 SV=1 - [W5PD15_SHEEP]
W5PD62	Uncharacterized protein OS=Ovis aries GN=CPB2 PE=4 SV=1 - [W5PD62_SHEEP]
W5PD71	Uncharacterized protein OS=Ovis aries GN=CRP PE=4 SV=1 - [W5PD71_SHEEP]
W5PDD0	Uncharacterized protein (Fragment) OS=Ovis aries GN=LCP1 PE=4 SV=1 - [W5PDD0_SHEEP]
W5PDJ6	Glutathione peroxidase (Fragment) OS=Ovis aries GN=GPX3 PE=3 SV=1 - [W5PDJ6_SHEEP]
W5PDL1	Uncharacterized protein (Fragment) OS=Ovis aries GN=WDR1 PE=4 SV=1 - [W5PDL1_SHEEP]
W5PDP6	Uncharacterized protein (Fragment) OS=Ovis aries GN=C1QB PE=4 SV=1 - [W5PDP6_SHEEP]
W5PDR7	Uncharacterized protein OS=Ovis aries GN=C8A PE=4 SV=1 - [W5PDR7_SHEEP]
W5PDZ5	Uncharacterized protein (Fragment) OS=Ovis aries GN=DHRSX PE=4 SV=1 - [W5PDZ5_SHEEP]
W5PE22	Uncharacterized protein (Fragment) OS=Ovis aries GN=GDI2 PE=4 SV=1 - [W5PE22_SHEEP]
W5PE27	Uncharacterized protein OS=Ovis aries GN=ESD PE=4 SV=1 - [W5PE27_SHEEP]
W5PE31	Uncharacterized protein (Fragment) OS=Ovis aries GN=FUT11 PE=3 SV=1 - [W5PE31_SHEEP]
W5PE53	Uncharacterized protein (Fragment) OS=Ovis aries GN=C8B PE=4 SV=1 - [W5PE53_SHEEP]
W5PE90	Uncharacterized protein OS=Ovis aries GN=ITPR1 PE=4 SV=1 - [W5PE90_SHEEP]
W5PEC3	Annexin OS=Ovis aries GN=ANXA6 PE=3 SV=1 - [W5PEC3_SHEEP]
W5PEE2	Histone-lysine N-methyltransferase OS=Ovis aries GN=SETD1A PE=4 SV=1 - [W5PEE2_SHEEP]
W5PEF1	Pescadillo homolog OS=Ovis aries GN=PES1 PE=3 SV=1 - [W5PEF1_SHEEP]
W5PEG6	Uncharacterized protein OS=Ovis aries GN=GUCY1A3 PE=3 SV=1 - [W5PEG6_SHEEP]
W5PEI4	Uncharacterized protein OS=Ovis aries GN=KLKB1 PE=3 SV=1 - [W5PEI4_SHEEP]
W5PEL7	Uncharacterized protein (Fragment) OS=Ovis aries GN=HSPG2 PE=4 SV=1 - [W5PEL7_SHEEP]
W5PEN2	Uncharacterized protein OS=Ovis aries GN=TPD52 PE=4 SV=1 - [W5PEN2_SHEEP]
W5PEP8	Uncharacterized protein OS=Ovis aries GN=TTC29 PE=4 SV=1 - [W5PEP8_SHEEP]
W5PEW7	Uncharacterized protein OS=Ovis aries GN=CENPF PE=4 SV=1 - [W5PEW7_SHEEP]
W5PEY4	Uncharacterized protein OS=Ovis aries GN=TCN2 PE=4 SV=1 - [W5PEY4_SHEEP]
W5PF04	alpha-1,2-Mannosidase (Fragment) OS=Ovis aries GN=MAN1A1 PE=3 SV=1 - [W5PF04_SHEEP]
W5PF33	Uncharacterized protein OS=Ovis aries GN=GM2A PE=4 SV=1 - [W5PF33_SHEEP]
W5PF38	Uncharacterized protein OS=Ovis aries GN=TFDP1 PE=3 SV=1 - [W5PF38_SHEEP]
W5PF65	Uncharacterized protein OS=Ovis aries GN=TF PE=3 SV=1 - [W5PF65_SHEEP]
W5PFB9	Alkaline phosphatase OS=Ovis aries GN=ALPL PE=3 SV=1 - [W5PFB9_SHEEP]
W5PFC9	Uncharacterized protein (Fragment) OS=Ovis aries GN=LOC101117129 PE=4 SV=1 - [W5PFC9_SHEEP]
W5PFM3	Uncharacterized protein (Fragment) OS=Ovis aries GN=CACNA1A PE=3 SV=1 - [W5PFM3_SHEEP]
W5PFP5	Perilipin OS=Ovis aries GN=PLIN3 PE=3 SV=1 - [W5PFP5_SHEEP]
W5PFV5	Uncharacterized protein OS=Ovis aries GN=NPEPPS PE=4 SV=1 - [W5PFV5_SHEEP]
W5PFW2	Uncharacterized protein OS=Ovis aries GN=NEB PE=4 SV=1 - [W5PFW2_SHEEP]
W5PG18	Uncharacterized protein OS=Ovis aries GN=DCBLD1 PE=4 SV=1 - [W5PG18_SHEEP]
W5PG41	Uncharacterized protein OS=Ovis aries GN=H6PD PE=4 SV=1 - [W5PG41_SHEEP]
W5PG72	Uncharacterized protein OS=Ovis aries GN=GOLM1 PE=4 SV=1 - [W5PG72_SHEEP]
W5PG82	Uncharacterized protein OS=Ovis aries GN=WIPF3 PE=4 SV=1 - [W5PG82_SHEEP]
W5PG90	Uncharacterized protein OS=Ovis aries GN=PRSS8 PE=3 SV=1 - [W5PG90_SHEEP]
W5PGC5	Aldose 1-epimerase OS=Ovis aries GN=GALM PE=3 SV=1 - [W5PGC5_SHEEP]
W5PGD0	Uncharacterized protein OS=Ovis aries GN=FAT2 PE=4 SV=1 - [W5PGD0_SHEEP]
W5PGD2	Tyrosine-protein kinase receptor OS=Ovis aries GN=ROS1 PE=3 SV=1 - [W5PGD2_SHEEP]
W5PGE9	Uncharacterized protein (Fragment) OS=Ovis aries PE=4 SV=1 - [W5PGE9_SHEEP]
W5PGJ1	Uncharacterized protein OS=Ovis aries GN=POLRMT PE=4 SV=1 - [W5PGJ1_SHEEP]
W5PGL5	Sodium/nucleoside cotransporter (Fragment) OS=Ovis aries GN=SLC28A3 PE=3 SV=1 - [W5PGL5_SHEEP]
W5PGL7	Uncharacterized protein OS=Ovis aries GN=MTM1 PE=4 SV=1 - [W5PGL7_SHEEP]
W5PGL9	Elongation factor 1-alpha OS=Ovis aries PE=3 SV=1 - [W5PGL9_SHEEP]
W5PGN9	UDP-glucuronosyltransferase (Fragment) OS=Ovis aries GN=LOC101117163 PE=3 SV=1 - [W5PGN9_SHEEP]
W5PGP1	Uncharacterized protein OS=Ovis aries GN=LPO PE=4 SV=1 - [W5PGP1_SHEEP]
W5PGR9	Uncharacterized protein (Fragment) OS=Ovis aries GN=AGR2 PE=4 SV=1 - [W5PGR9_SHEEP]
W5PGT6	Uncharacterized protein OS=Ovis aries GN=C6 PE=4 SV=1 - [W5PGT6_SHEEP]
W5PGT9	Uncharacterized protein OS=Ovis aries GN=IGHE PE=4 SV=1 - [W5PGT9_SHEEP]
W5PGV4	Uncharacterized protein OS=Ovis aries GN=INADL PE=4 SV=1 - [W5PGV4_SHEEP]
W5PH10	Copper-transporting ATPase 2 OS=Ovis aries GN=ATP7B PE=3 SV=1 - [W5PH10_SHEEP]
W5PH79	Uncharacterized protein (Fragment) OS=Ovis aries GN=MYDGF PE=4 SV=1 - [W5PH79_SHEEP]
W5PH81	Uncharacterized protein OS=Ovis aries GN=C7 PE=4 SV=1 - [W5PH81_SHEEP]
W5PH95	Uncharacterized protein (Fragment) OS=Ovis aries PE=4 SV=1 - [W5PH95_SHEEP]
W5PHA9	Uncharacterized protein (Fragment) OS=Ovis aries GN=NEK5 PE=3 SV=1 - [W5PHA9_SHEEP]
W5PHI7	Uncharacterized protein OS=Ovis aries GN=LOC101116892 PE=3 SV=1 - [W5PHI7_SHEEP]
W5PHM9	Uncharacterized protein OS=Ovis aries GN=CHFR PE=4 SV=1 - [W5PHM9_SHEEP]
W5PHP7	Uncharacterized protein OS=Ovis aries GN=LOC101117146 PE=3 SV=1 - [W5PHP7_SHEEP]
W5PHQ5	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5PHQ5_SHEEP]
W5PHQ6	Uncharacterized protein OS=Ovis aries GN=CNTN3 PE=4 SV=1 - [W5PHQ6_SHEEP]
W5PHQ8	Uncharacterized protein OS=Ovis aries GN=TSTD1 PE=4 SV=1 - [W5PHQ8_SHEEP]
W5PHT8	Uncharacterized protein (Fragment) OS=Ovis aries GN=DOCK7 PE=4 SV=1 - [W5PHT8_SHEEP]
W5PI67	Uncharacterized protein OS=Ovis aries GN=IDS PE=4 SV=1 - [W5PI67_SHEEP]
W5PI74	Uncharacterized protein OS=Ovis aries GN=LOC101107613 PE=4 SV=1 - [W5PI74_SHEEP]
W5PIC9	Uncharacterized protein (Fragment) OS=Ovis aries GN=BST1 PE=4 SV=1 - [W5PIC9_SHEEP]
W5PID5	Uncharacterized protein OS=Ovis aries GN=TSG101 PE=4 SV=1 - [W5PID5_SHEEP]
W5PID6	Uncharacterized protein OS=Ovis aries GN=CHMP5 PE=4 SV=1 - [W5PID6_SHEEP]
W5PID9	Uncharacterized protein OS=Ovis aries GN=C9 PE=4 SV=1 - [W5PID9_SHEEP]
W5PIG7	Uncharacterized protein OS=Ovis aries GN=ENO1 PE=3 SV=1 - [W5PIG7_SHEEP]
W5PIH5	Uncharacterized protein OS=Ovis aries GN=SHQ1 PE=4 SV=1 - [W5PIH5_SHEEP]
W5PII7	Uncharacterized protein OS=Ovis aries GN=FYB PE=4 SV=1 - [W5PII7_SHEEP]
W5PIJ2	Adenosylhomocysteinase (Fragment) OS=Ovis aries PE=3 SV=1 - [W5PIJ2_SHEEP]
W5PIS8	Sulfotransferase (Fragment) OS=Ovis aries GN=SULT6B1 PE=3 SV=1 - [W5PIS8_SHEEP]
W5PIT5	Uncharacterized protein OS=Ovis aries GN=PPOX PE=4 SV=1 - [W5PIT5_SHEEP]
W5PIU6	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5PIU6_SHEEP]
W5PJ21	Polypeptide N-acetylgalactosaminyltransferase (Fragment) OS=Ovis aries GN=GALNT10 PE=3 SV=1 - [W5PJ21_SHEEP]
W5PJ53	Uncharacterized protein OS=Ovis aries GN=TRAF3IP2 PE=4 SV=1 - [W5PJ53_SHEEP]
W5PJ66	Uncharacterized protein OS=Ovis aries GN=CFD PE=3 SV=1 - [W5PJ66_SHEEP]
W5PJ75	Uncharacterized protein OS=Ovis aries GN=SPTAN1 PE=4 SV=1 - [W5PJ75_SHEEP]
W5PJA0	Uncharacterized protein (Fragment) OS=Ovis aries GN=CUTA PE=4 SV=1 - [W5PJA0_SHEEP]
W5PJB0	Uncharacterized protein OS=Ovis aries GN=FREM2 PE=4 SV=1 - [W5PJB0_SHEEP]
W5PJB6	Uncharacterized protein (Fragment) OS=Ovis aries GN=PGM1 PE=3 SV=1 - [W5PJB6_SHEEP]
W5PJG4	Uncharacterized protein OS=Ovis aries GN=LRRC69 PE=4 SV=1 - [W5PJG4_SHEEP]
W5PJK7	Uncharacterized protein OS=Ovis aries GN=CCNB3 PE=3 SV=1 - [W5PJK7_SHEEP]
W5PJP2	Uncharacterized protein (Fragment) OS=Ovis aries GN=NEFL PE=3 SV=1 - [W5PJP2_SHEEP]
W5PJP4	Uncharacterized protein OS=Ovis aries GN=LIFR PE=4 SV=1 - [W5PJP4_SHEEP]
W5PJP9	Uncharacterized protein OS=Ovis aries GN=SYNGAP1 PE=4 SV=1 - [W5PJP9_SHEEP]
W5PJR5	Serum amyloid A protein (Fragment) OS=Ovis aries GN=LOC101121216 PE=3 SV=1 - [W5PJR5_SHEEP]
W5PJV7	Uncharacterized protein (Fragment) OS=Ovis aries GN=ADAMDEC1 PE=4 SV=1 - [W5PJV7_SHEEP]
W5PJZ2	Uncharacterized protein OS=Ovis aries GN=SERPING1 PE=3 SV=1 - [W5PJZ2_SHEEP]
W5PK03	Uncharacterized protein OS=Ovis aries GN=POSTN PE=4 SV=1 - [W5PK03_SHEEP]
W5PK04	Uncharacterized protein OS=Ovis aries GN=PGAM1 PE=3 SV=1 - [W5PK04_SHEEP]
W5PK11	Polypeptide N-acetylgalactosaminyltransferase (Fragment) OS=Ovis aries GN=GALNT18 PE=3 SV=1 - [W5PK11_SHEEP]
W5PK16	Uncharacterized protein OS=Ovis aries GN=SFTPD PE=4 SV=1 - [W5PK16_SHEEP]
W5PK20	Uncharacterized protein (Fragment) OS=Ovis aries GN=PATZ1 PE=4 SV=1 - [W5PK20_SHEEP]
W5PK40	Uncharacterized protein (Fragment) OS=Ovis aries GN=SULF2 PE=4 SV=1 - [W5PK40_SHEEP]
W5PK48	Uncharacterized protein OS=Ovis aries PE=3 SV=1 - [W5PK48_SHEEP]
W5PK51	Uncharacterized protein OS=Ovis aries GN=STAP2 PE=4 SV=1 - [W5PK51_SHEEP]
W5PK66	Uncharacterized protein OS=Ovis aries GN=PARK7 PE=4 SV=1 - [W5PK66_SHEEP]
W5PKA2	Uncharacterized protein OS=Ovis aries GN=WDR18 PE=4 SV=1 - [W5PKA2_SHEEP]
W5PKI7	Uncharacterized protein (Fragment) OS=Ovis aries GN=LOC101107119 PE=4 SV=1 - [W5PKI7_SHEEP]
W5PKL8	Uncharacterized protein OS=Ovis aries GN=C2H8orf58 PE=4 SV=1 - [W5PKL8_SHEEP]
W5PKN7	Uncharacterized protein OS=Ovis aries GN=LDB2 PE=4 SV=1 - [W5PKN7_SHEEP]
W5PKP3	Uncharacterized protein OS=Ovis aries GN=FAM114A1 PE=4 SV=1 - [W5PKP3_SHEEP]
W5PKU6	Uncharacterized protein OS=Ovis aries GN=SVOPL PE=4 SV=1 - [W5PKU6_SHEEP]
W5PL47	Metalloendopeptidase (Fragment) OS=Ovis aries GN=BMP1 PE=3 SV=1 - [W5PL47_SHEEP]
W5PL60	Uncharacterized protein (Fragment) OS=Ovis aries GN=SLC27A4 PE=4 SV=1 - [W5PL60_SHEEP]
W5PL84	Uncharacterized protein (Fragment) OS=Ovis aries GN=EHD1 PE=4 SV=1 - [W5PL84_SHEEP]
W5PL92	Uncharacterized protein OS=Ovis aries GN=C5orf42 PE=4 SV=1 - [W5PL92_SHEEP]
W5PLB7	Peptidoglycan-recognition protein OS=Ovis aries GN=PGLYRP1 PE=3 SV=1 - [W5PLB7_SHEEP]
W5PLH2	Uncharacterized protein OS=Ovis aries GN=SIAE PE=4 SV=1 - [W5PLH2_SHEEP]
W5PLL1	Uncharacterized protein OS=Ovis aries GN=IKZF4 PE=4 SV=1 - [W5PLL1_SHEEP]
W5PLN2	Uncharacterized protein (Fragment) OS=Ovis aries GN=RNF169 PE=4 SV=1 - [W5PLN2_SHEEP]
W5PLP2	Uncharacterized protein (Fragment) OS=Ovis aries GN=GMEB2 PE=4 SV=1 - [W5PLP2_SHEEP]
W5PLY2	Uncharacterized protein (Fragment) OS=Ovis aries GN=EIF3H PE=3 SV=1 - [W5PLY2_SHEEP]
W5PM49	Uncharacterized protein OS=Ovis aries GN=USH2A PE=4 SV=1 - [W5PM49_SHEEP]
W5PM94	Uncharacterized protein OS=Ovis aries GN=ACSS2 PE=4 SV=1 - [W5PM94_SHEEP]
W5PMC6	Uncharacterized protein (Fragment) OS=Ovis aries PE=4 SV=1 - [W5PMC6_SHEEP]
W5PMH6	Uncharacterized protein (Fragment) OS=Ovis aries GN=LCN2 PE=3 SV=1 - [W5PMH6_SHEEP]
W5PMM5	Uncharacterized protein (Fragment) OS=Ovis aries GN=ERP44 PE=4 SV=1 - [W5PMM5_SHEEP]
